_key,"Project meeting (backlog grooming, non SCRUM liturgies)","Company initatives (Task forces, HWH, Halogen, TEDx, QA meetings, etc)",Infrastructure,Support,SCRUM management,"SCRUM liturgies (Reviews, Stand up, Plannings and Retrospective meetings)",Project documentation,"Project status update (review mail after holidays, etc)","Company meeting (Town hall, etc)",Other,Project training,"Company issue (Fire alarm, etc)",LAB maintenance,"Defect management (estimations, defect disposition meetings, etc)",Retrospective actions
Sprint 109,22.75,,5.75,3.833333333333333,,,,,0.5,16.5,,,,0.8333333333333334,
Sprint 108,3.5,,,9,,,,,4.5,7.416666666666667,11.5,,,,
Sprint 107,,,0.6666666666666666,,,,,,1,7.916666666666666,,2.25,,1.0833333333333333,
Sprint 106,10,,,0.5,,,,,6,29,,3.75,8.25,,
Sprint 105,6.5,,1.25,6,,,,,5.25,9.75,,2.5,1,,
Sprint 104,2,,,1.3333333333333333,,,,,22.5,4.083333333333333,,1.75,,1,
Sprint 103,3,,,7.249999999999999,,,,,4.5,7,2,0.5,5,0.75,
Sprint 102,3.583333333333333,,2,2,,,,,6.666666666666667,6.75,2,,1,1.75,
Sprint 101,8.416666666666668,,,0.75,,,,,9,7.999999999999999,,3.75,,2,
Sprint 100,0.6666666666666666,,,,,,,,,19.500000000000004,,9.5,,,
Sprint 99,3.25,,1,,,,,,,12.333333333333334,,,1.3333333333333333,9,
Sprint 98,5,,,,,,,,5.333333333333334,14.666666666666664,,4.666666666666667,,,
Sprint 97,0.75,,,1.25,,,,,6.166666666666667,5.833333333333334,,0.25,2.5,,
Sprint 96,4.5,,1.5,,,,,,,3.916666666666667,8.666666666666666,,9.083333333333332,1.75,2
Sprint 95,8,,,3.1666666666666665,,,,,,13.333333333333332,,0.5,,,
